logins,pseudo,mdp,anniversaire,ID_Artiste
0,tonymartin,L6SABL1x$h,2007-10-04,
1,xfitzpatrick,G&)U4(Je6w,1958-09-02,
2,brownsarah,P&5QLYgHk&,1979-03-21,
3,brian90,^01OCon2jG,1904-12-09,107
4,tuckerwilliam,in3JDnfjF),1919-09-30,
5,jenniferstark,4aJIYTJD@I,1983-12-25,
6,amberserrano,L9jZcxju*2,1985-04-26,
7,srios,p4A)yZBT%F,1911-03-18,
8,ryan58,@g6Jv@I+5Z,1939-07-05,550
9,fayala,%E5EJapu&L,1933-03-10,
10,youngalexis,w7GiuNeO_C,1955-11-03,
11,thompsonraymond,WyH4RQVth+,1937-08-24,
12,mark22,)K%LV9Dc9),1918-04-13,
13,nicholasalvarez,#5q_QPorCl,1955-03-29,
14,lking,&0W16jys7l,1968-07-15,
15,kevinpierce,76Ndmy9%)v,1999-10-19,
16,nwhite,*Bulfi*ge6,2001-05-08,
17,joshua15,!d+VEJfb@5,1913-06-22,
18,fbailey,I9gD^gWW!k,2008-03-04,
19,cjones,NY&n5JZnBG,1930-10-08,
20,patriciahayes,!1KzVxnwGz,2011-09-26,
21,ylynch,%fUR8sl$Q4,1906-12-27,
22,rwallace,^zO5OW8uNt,1970-08-21,
23,veronica63,155fYlj5%5,1940-08-19,
24,xreeves,(N305xNtv8,1979-12-05,
25,vbailey,V@&R7Ain#o,1930-05-28,
26,rhernandez,$23gJvdtdR,1990-02-18,
27,philip88,(SLF7Ucx$2,1972-10-20,
28,maureenmcgee,&hPaGBHu3u,1930-07-13,
29,lewisjose,RsFrkiwh)8,1919-06-21,
30,hjohnson,$oWV*+JC!5,1931-02-01,
31,rebecca13,&44PJlkRa3,1983-11-05,
32,todd13,&oQ+SjKdz9,1963-04-13,
33,hannah81,+Rd$28CcOg,1962-10-08,
34,cunninghamdawn,#B5CugB!L@,1975-01-23,
35,raymond67,TcGZ4aC#+8,1931-11-25,
36,vperry,_U2WIXDyO4,1997-07-23,
37,ipearson,n4BY9cOG+9,1952-07-27,
38,blackwelllinda,6#5Vx8lxI%,1960-09-22,
39,fisheradam,7i%F1Taq*l,1935-08-13,
40,vmanning,!HmvVsqkt3,1939-08-13,
41,andersonkenneth,#D0SU9@vvo,1929-11-28,
42,wallerchelsea,!42Wh7eHG0,1906-07-23,
43,robinsonjohn,e8Kf(Jv*(k,1937-02-21,
44,samuelestes,+5Q$QWgo!m,1996-08-21,
45,smithsean,&glciXmF78,1943-11-25,
46,hodgecourtney,FsKRDdl)@1,1931-03-15,
47,erin60,*_Tz6iIg3#,1988-05-08,
48,barnesmarc,GBy5xKInl(,1957-10-12,
49,charlessimpson,q#WO8$TxIk,1950-05-23,
